Row_ID,Order_Date,Ship_Date,Ship_Mode,Delay_Timing,Delay_Timing_Days
70,2017-04-06,2017-06-06,First Class,61 days,61.0
71,,,Standard Class,,
72,,,Second Class,,
73,,2016-02-05,Standard Class,,
74,,2016-02-05,Standard Class,,
75,,2016-02-05,Standard Class,,
76,2018-09-12,2018-11-12,First Class,61 days,61.0
77,2018-09-12,2018-11-12,First Class,61 days,61.0
78,2018-09-12,2018-11-12,First Class,61 days,61.0
79,,2015-01-12,Second Class,,
80,2017-12-06,,First Class,,
81,2017-12-06,,First Class,,
82,2015-12-10,,Standard Class,,
83,2015-12-10,,Standard Class,,
84,2016-03-09,2016-08-09,Standard Class,153 days,153.0
85,,,First Class,,
86,,,Second Class,,
87,,2018-02-11,Standard Class,,
88,,2018-02-11,Standard Class,,
89,2017-05-04,2017-10-04,Second Class,153 days,153.0
90,,,Standard Class,,
91,,,Standard Class,,
92,,,Standard Class,,
93,,2016-05-02,Second Class,,
94,,2016-05-02,Second Class,,
95,,2016-05-02,Second Class,,
96,2018-06-11,2018-12-11,Standard Class,183 days,183.0
97,2018-09-11,2018-11-11,Second Class,61 days,61.0
98,,,First Class,,
99,2017-06-09,2017-11-09,Standard Class,153 days,153.0
100,,2017-02-09,Standard Class,,
101,,2017-02-09,Standard Class,,
102,,2017-02-09,Standard Class,,
103,2017-01-12,2017-04-12,Second Class,90 days,90.0
104,,,Standard Class,,
105,,,Standard Class,,
106,,,Standard Class,,
107,,,Standard Class,,
108,,,Standard Class,,
109,,,Standard Class,,
110,,,Standard Class,,
111,,,Standard Class,,
112,2017-03-11,2017-10-11,Standard Class,214 days,214.0
113,2017-03-11,2017-10-11,Standard Class,214 days,214.0
114,,,Second Class,,
115,,,Second Class,,
116,,,Second Class,,
117,,,Second Class,,
118,2016-02-03,2016-06-03,Standard Class,121 days,121.0
119,2016-05-04,2016-10-04,Standard Class,153 days,153.0
120,2017-12-06,,First Class,,
121,2017-12-06,,First Class,,
122,2017-12-06,,First Class,,
123,2017-12-06,,First Class,,
124,2017-12-06,,First Class,,
125,,,Second Class,,
126,,,Standard Class,,
127,2018-05-11,2018-12-11,Standard Class,214 days,214.0
128,2018-05-11,2018-12-11,Standard Class,214 days,214.0
129,2017-06-11,2017-10-11,Second Class,122 days,122.0
130,2017-06-11,2017-10-11,Second Class,122 days,122.0
131,2018-02-02,2018-05-02,First Class,89 days,89.0
132,2018-02-02,2018-05-02,First Class,89 days,89.0
133,2018-02-02,2018-05-02,First Class,89 days,89.0
134,,,Standard Class,,
135,,,Standard Class,,
136,,,Standard Class,,
137,,,Standard Class,,
138,,,Standard Class,,
139,,,Standard Class,,
140,,,Standard Class,,
141,2017-05-09,2017-07-09,Second Class,61 days,61.0
142,,,Standard Class,,
143,,,Standard Class,,
144,,,Standard Class,,
145,,,Standard Class,,
146,2016-07-09,2016-12-09,Standard Class,153 days,153.0
147,,,Standard Class,,
148,2017-05-12,2017-09-12,Standard Class,123 days,123.0
149,2017-05-12,2017-09-12,Standard Class,123 days,123.0
150,2017-05-12,2017-09-12,Standard Class,123 days,123.0
151,2017-05-12,2017-09-12,Standard Class,123 days,123.0
152,,,First Class,,
153,,,First Class,,
154,,2016-02-06,First Class,,
155,,2016-02-06,First Class,,
156,,2016-02-06,First Class,,
157,,2016-03-06,Standard Class,,
158,2015-01-03,2015-06-03,Second Class,151 days,151.0
159,,,Standard Class,,
160,,,Standard Class,,
161,2017-11-05,2017-12-05,First Class,30 days,30.0
162,,,Second Class,,
163,,,Standard Class,,
164,2017-07-11,2017-11-11,Standard Class,123 days,123.0
165,2015-08-09,2015-12-09,Standard Class,122 days,122.0
166,2015-08-09,2015-12-09,Standard Class,122 days,122.0
167,2015-08-09,2015-12-09,Standard Class,122 days,122.0
168,2015-08-09,2015-12-09,Standard Class,122 days,122.0
169,2015-08-09,2015-12-09,Standard Class,122 days,122.0
170,2015-08-09,2015-12-09,Standard Class,122 days,122.0
171,2015-08-09,2015-12-09,Standard Class,122 days,122.0
172,2015-05-08,2015-09-08,Standard Class,123 days,123.0
173,2015-05-08,2015-09-08,Standard Class,123 days,123.0
174,2015-05-08,2015-09-08,Standard Class,123 days,123.0
175,,,Standard Class,,
176,,,Standard Class,,
177,,,Second Class,,
178,,,Second Class,,
179,,,Second Class,,
180,,,Standard Class,,
181,2015-05-12,2015-09-12,Second Class,123 days,123.0
182,2015-05-12,2015-09-12,Second Class,123 days,123.0
183,,,Second Class,,
184,,,Second Class,,
185,,,Second Class,,
186,,2017-02-12,Standard Class,,
187,,,Standard Class,,
188,,,Standard Class,,
189,,,Standard Class,,
190,2016-12-10,,First Class,,
191,2016-12-10,,First Class,,
192,2016-12-10,,First Class,,
193,2016-12-10,,First Class,,
194,2016-12-10,,First Class,,
195,,2016-06-11,Standard Class,,
196,,,Standard Class,,
197,,,Standard Class,,
198,2018-06-11,,Standard Class,,
199,2018-06-07,,Standard Class,,
200,2018-06-07,,Standard Class,,
201,,,Standard Class,,
202,2015-03-08,2015-05-08,First Class,61 days,61.0
203,2015-03-08,2015-05-08,First Class,61 days,61.0
204,,,Second Class,,
205,2018-03-06,2018-07-06,Standard Class,122 days,122.0
206,2018-09-12,,Standard Class,,
207,2018-01-12,2018-07-12,Standard Class,181 days,181.0
208,2018-01-12,2018-07-12,Standard Class,181 days,181.0
209,2018-01-12,2018-07-12,Standard Class,181 days,181.0
210,2018-01-12,2018-07-12,Standard Class,181 days,181.0
211,2018-01-12,2018-07-12,Standard Class,181 days,181.0
212,2016-09-02,,Second Class,,
213,2016-02-01,2016-09-01,Standard Class,213 days,213.0
214,2016-02-01,2016-09-01,Standard Class,213 days,213.0
215,2016-02-01,2016-09-01,Standard Class,213 days,213.0
216,2016-02-01,2016-09-01,Standard Class,213 days,213.0
217,2016-02-01,2016-09-01,Standard Class,213 days,213.0
218,,2017-01-11,Standard Class,,
219,,2017-01-11,Standard Class,,
220,,,First Class,,
221,,,First Class,,
222,,,First Class,,
223,,,First Class,,
224,,,First Class,,
225,,,First Class,,
226,2016-09-08,,Standard Class,,
227,2016-09-08,,Standard Class,,
228,2016-09-08,,Standard Class,,
229,,2016-04-03,Standard Class,,
230,,2016-04-03,Standard Class,,
231,,,Standard Class,,
232,2018-07-04,2018-12-04,Standard Class,153 days,153.0
233,2018-07-04,2018-12-04,Standard Class,153 days,153.0
234,2018-07-04,2018-12-04,Standard Class,153 days,153.0
235,2018-07-04,2018-12-04,Standard Class,153 days,153.0
236,2018-07-04,2018-12-04,Standard Class,153 days,153.0
237,2018-12-11,,Standard Class,,
238,2017-04-06,2017-09-06,Second Class,153 days,153.0
239,2017-04-06,2017-09-06,Second Class,153 days,153.0
240,2017-04-06,2017-09-06,Second Class,153 days,153.0
241,2017-04-06,2017-09-06,Second Class,153 days,153.0
242,2017-04-06,2017-09-06,Second Class,153 days,153.0
243,2017-04-06,2017-09-06,Second Class,153 days,153.0
244,2017-04-06,2017-09-06,Second Class,153 days,153.0
245,2015-01-06,2015-06-06,Second Class,151 days,151.0
246,2015-01-06,2015-06-06,Second Class,151 days,151.0
247,2015-01-06,2015-06-06,Second Class,151 days,151.0
248,2015-01-06,2015-06-06,Second Class,151 days,151.0
249,2015-01-06,2015-06-06,Second Class,151 days,151.0
250,2017-10-12,,Second Class,,
251,2017-11-09,,Standard Class,,
252,2017-11-09,,Standard Class,,
253,2017-10-12,,First Class,,
254,2017-10-12,,First Class,,
255,,2016-04-12,Standard Class,,
256,,2016-04-12,Standard Class,,
257,,2016-04-12,Standard Class,,
258,,2016-04-12,Standard Class,,
259,2018-01-12,2018-03-12,Second Class,59 days,59.0
260,2018-01-12,2018-03-12,Second Class,59 days,59.0
261,2018-01-12,2018-03-12,Second Class,59 days,59.0
262,2018-08-06,2018-12-06,Standard Class,122 days,122.0
263,,,Second Class,,
264,,,Second Class,,
265,2017-06-06,,Standard Class,,
266,2016-10-11,,Standard Class,,
267,,,Standard Class,,
268,,,Standard Class,,
269,2018-09-12,,Standard Class,,
270,2018-09-12,,Standard Class,,
271,,2019-02-01,Second Class,,
272,,,First Class,,
273,,,First Class,,
274,,,First Class,,
275,,,First Class,,
276,,,First Class,,
277,,,Standard Class,,
278,,,Standard Class,,
279,,,Standard Class,,
280,,,Standard Class,,
281,,,Second Class,,
282,,,Second Class,,
283,2016-02-11,2016-06-11,Standard Class,121 days,121.0
284,,2016-02-10,Standard Class,,
285,,2016-02-10,Standard Class,,
286,,2016-02-10,Standard Class,,
287,,,Second Class,,
288,,,Second Class,,
289,,,Second Class,,
290,,,Second Class,,
291,,,Second Class,,
292,,,Second Class,,
293,,,Second Class,,
294,,,First Class,,
295,,,First Class,,
296,,,First Class,,
297,,,First Class,,
298,,,First Class,,
299,,2017-03-11,Standard Class,,
300,,2017-03-11,Standard Class,,
301,,2017-03-11,Standard Class,,
302,,2017-03-11,Standard Class,,
303,,2017-03-11,Standard Class,,
304,,,Standard Class,,
305,2016-04-05,2016-09-05,Second Class,153 days,153.0
306,,2016-04-01,Standard Class,,
307,2015-01-06,2015-06-06,Standard Class,151 days,151.0
308,2015-01-06,2015-06-06,Standard Class,151 days,151.0
309,,,First Class,,
310,2017-12-09,,Second Class,,
311,2017-12-09,,Second Class,,
312,2017-12-09,,Second Class,,
313,2017-12-09,,Second Class,,
314,,2015-03-10,Standard Class,,
315,2015-09-08,,Standard Class,,
316,2015-09-08,,Standard Class,,
317,,,First Class,,
318,2015-04-11,2015-09-11,Standard Class,153 days,153.0
319,2015-04-11,2015-09-11,Standard Class,153 days,153.0
320,2015-04-11,2015-09-11,Standard Class,153 days,153.0
321,2015-04-11,2015-09-11,Standard Class,153 days,153.0
322,2015-04-11,2015-09-11,Standard Class,153 days,153.0
323,,,Standard Class,,
324,,,Standard Class,,
325,,,Standard Class,,
326,2018-03-11,2018-05-11,Second Class,61 days,61.0
327,,2017-01-09,First Class,,
328,,2017-01-09,First Class,,
329,,2017-01-09,First Class,,
330,,2017-01-09,First Class,,
331,,2017-01-09,First Class,,
332,,,Second Class,,
333,,,Second Class,,
334,,,Second Class,,
335,2016-01-09,2016-04-09,Second Class,91 days,91.0
336,2016-01-09,2016-04-09,Second Class,91 days,91.0
337,2016-01-09,2016-04-09,Second Class,91 days,91.0
338,2015-12-07,,Standard Class,,
339,2015-12-07,,Standard Class,,
340,,,Second Class,,
341,,,Second Class,,
342,,,Second Class,,
343,,,Second Class,,
344,,,Second Class,,
345,,,Standard Class,,
346,,,Standard Class,,
347,2018-08-07,2018-12-07,Standard Class,122 days,122.0
348,2018-08-07,2018-12-07,Standard Class,122 days,122.0
349,2018-08-07,2018-12-07,Standard Class,122 days,122.0
350,2017-01-09,2017-03-09,First Class,59 days,59.0
351,2017-01-09,2017-03-09,First Class,59 days,59.0
352,2017-01-09,2017-03-09,First Class,59 days,59.0
353,2017-01-09,2017-03-09,First Class,59 days,59.0
354,2017-01-09,2017-03-09,First Class,59 days,59.0
355,2017-08-04,,Standard Class,,
356,2017-08-04,,Standard Class,,
357,2017-08-04,,Standard Class,,
358,2017-08-04,,Standard Class,,
359,,,Standard Class,,
360,2018-08-03,2018-11-03,First Class,92 days,92.0
361,2018-08-03,2018-11-03,First Class,92 days,92.0
362,,2018-01-10,Standard Class,,
363,,2018-01-10,Standard Class,,
364,,2018-01-10,Standard Class,,
365,,2018-01-10,Standard Class,,
366,,,Standard Class,,
367,,,Same Day,,
368,,,Same Day,,
369,,,Same Day,,
370,,,Same Day,,
371,,2018-04-06,Standard Class,,
372,,2018-04-06,Standard Class,,
373,,,Standard Class,,
374,,,Standard Class,,
375,,,Standard Class,,
376,,,Standard Class,,
377,,2017-01-10,First Class,,
378,,2018-01-09,Standard Class,,
379,,2016-05-05,Standard Class,,
380,,2016-05-05,Standard Class,,
381,,2016-05-05,Standard Class,,
382,,,First Class,,
383,,,First Class,,
384,,,Second Class,,
385,,2016-02-12,Standard Class,,
386,,2016-02-12,Standard Class,,
387,2016-03-12,2016-07-12,Standard Class,122 days,122.0
388,2016-03-12,2016-07-12,Standard Class,122 days,122.0
389,,,First Class,,
390,2018-11-12,,Standard Class,,
391,2018-11-12,,Standard Class,,
392,,,Second Class,,
393,,,Second Class,,
394,2015-07-06,2015-10-06,Second Class,92 days,92.0
395,,2018-05-07,Standard Class,,
396,,,Second Class,,
397,,,Second Class,,
398,,2016-04-11,Standard Class,,
399,2017-08-09,2017-10-09,Second Class,61 days,61.0
400,2017-08-09,2017-10-09,Second Class,61 days,61.0
401,2017-08-09,2017-10-09,Second Class,61 days,61.0
402,2017-08-09,2017-10-09,Second Class,61 days,61.0
403,,,First Class,,
404,,,Standard Class,,
405,,,Standard Class,,
406,2018-08-12,2018-12-12,Standard Class,122 days,122.0
407,2018-08-12,2018-12-12,Standard Class,122 days,122.0
408,2018-08-12,2018-12-12,Standard Class,122 days,122.0
409,2018-08-12,2018-12-12,Standard Class,122 days,122.0
410,2018-08-12,2018-12-12,Standard Class,122 days,122.0
411,2018-08-12,2018-12-12,Standard Class,122 days,122.0
412,2018-08-12,2018-12-12,Standard Class,122 days,122.0
413,2018-08-12,2018-12-12,Standard Class,122 days,122.0
414,2018-08-12,2018-12-12,Standard Class,122 days,122.0
415,2018-03-11,2018-07-11,Standard Class,122 days,122.0
416,2018-03-11,2018-07-11,Standard Class,122 days,122.0
417,,,Standard Class,,
418,,,Standard Class,,
419,2018-06-11,2018-10-11,Standard Class,122 days,122.0
420,2018-04-03,2018-09-03,Standard Class,153 days,153.0
421,2018-04-03,2018-09-03,Standard Class,153 days,153.0
422,,,First Class,,
423,,,Standard Class,,
424,,,Standard Class,,
425,,,Second Class,,
426,,,Second Class,,
427,,,Second Class,,
428,2015-12-09,,First Class,,
429,2018-01-10,2018-08-10,Standard Class,212 days,212.0
430,,,Standard Class,,
431,,,Standard Class,,
432,,,Standard Class,,
433,,,Standard Class,,
434,2017-06-06,2017-07-06,First Class,30 days,30.0
435,,,Standard Class,,
436,,,Standard Class,,
437,2017-12-06,,Second Class,,
438,2017-12-06,,Second Class,,
439,,,Standard Class,,
440,,,Second Class,,
441,2017-05-09,2017-07-09,Second Class,61 days,61.0
442,2017-05-09,2017-07-09,Second Class,61 days,61.0
443,2017-05-09,2017-07-09,Second Class,61 days,61.0
444,2017-05-09,2017-07-09,Second Class,61 days,61.0
445,2017-05-09,2017-07-09,Second Class,61 days,61.0
446,2017-05-09,2017-07-09,Second Class,61 days,61.0
447,,,Second Class,,
448,2017-01-04,2017-03-04,Second Class,59 days,59.0
449,2017-01-04,2017-03-04,Second Class,59 days,59.0
450,2017-01-04,2017-03-04,Second Class,59 days,59.0
451,2017-01-04,2017-03-04,Second Class,59 days,59.0
452,2017-01-04,2017-03-04,Second Class,59 days,59.0
453,2017-01-04,2017-03-04,Second Class,59 days,59.0
454,,,Standard Class,,
455,,,Standard Class,,
456,,,Standard Class,,
457,2015-12-02,,Standard Class,,
458,,2017-01-10,Standard Class,,
459,,2017-01-10,Standard Class,,
460,,,Standard Class,,
461,,,Standard Class,,
462,,,Standard Class,,
463,,,Standard Class,,
464,,,Standard Class,,
465,,,Standard Class,,
466,,,Standard Class,,
467,,,Standard Class,,
468,,,Standard Class,,
469,,2018-04-04,Standard Class,,
470,,,Second Class,,
471,,,Standard Class,,
472,2015-09-11,2015-11-11,Second Class,61 days,61.0
473,2015-09-11,2015-11-11,Second Class,61 days,61.0
474,2015-09-11,2015-11-11,Second Class,61 days,61.0
475,2015-09-11,2015-11-11,Second Class,61 days,61.0
476,2015-09-11,2015-11-11,Second Class,61 days,61.0
477,2015-09-11,2015-11-11,Second Class,61 days,61.0
478,2017-12-07,,Standard Class,,
479,,2017-02-11,Standard Class,,
480,,2017-02-07,Standard Class,,
481,,2017-02-07,Standard Class,,
482,2015-06-10,2015-10-10,Standard Class,122 days,122.0
483,,,Standard Class,,
484,,,Standard Class,,
485,2018-10-06,,First Class,,
486,2018-10-06,,First Class,,
487,2018-10-06,,First Class,,
488,,,First Class,,
489,2015-09-06,,Second Class,,
490,2015-09-06,,Second Class,,
491,2015-09-06,,Second Class,,
492,,,Standard Class,,
493,,,Standard Class,,
494,2017-09-05,,Standard Class,,
495,,,Second Class,,
496,,,Standard Class,,
497,,,Standard Class,,
498,,,Standard Class,,
499,,,Standard Class,,
500,,,Standard Class,,
501,,2017-04-06,Standard Class,,
502,,2017-04-06,Standard Class,,
503,,2017-04-06,Standard Class,,
504,,2017-04-06,Standard Class,,
505,,2017-04-06,Standard Class,,
506,2018-12-11,,Second Class,,
507,,,Standard Class,,
508,,,Standard Class,,
509,,,Standard Class,,
510,,,Standard Class,,
511,,,First Class,,
512,,,First Class,,
513,,,First Class,,
514,,,Standard Class,,
515,,,Standard Class,,
516,,,Standard Class,,
517,,,Standard Class,,
518,,,Standard Class,,
519,,,Standard Class,,
520,,,Standard Class,,
521,,,Standard Class,,
522,,,Standard Class,,
523,,,First Class,,
524,,,First Class,,
525,,,First Class,,
526,,2017-02-01,Standard Class,,
527,,,Standard Class,,
528,,,Standard Class,,
529,2016-03-09,2016-07-09,Standard Class,122 days,122.0
530,2016-03-09,2016-07-09,Standard Class,122 days,122.0
531,2016-03-09,2016-07-09,Standard Class,122 days,122.0
532,2016-07-11,2016-09-11,Second Class,62 days,62.0
533,2018-07-09,2018-11-09,Standard Class,123 days,123.0
534,,2017-01-06,Second Class,,
535,,2017-01-06,Second Class,,
536,2017-10-07,,Standard Class,,
537,2018-03-09,2018-08-09,Second Class,153 days,153.0
538,2016-03-12,2016-08-12,Standard Class,153 days,153.0
539,2016-07-12,2016-11-12,Standard Class,123 days,123.0
540,2016-07-12,2016-11-12,Standard Class,123 days,123.0
541,2015-01-02,2015-03-02,First Class,59 days,59.0
542,,,First Class,,
543,,,Standard Class,,
544,2015-11-05,,Standard Class,,
545,2015-11-05,,Standard Class,,
546,2015-11-05,,Standard Class,,
547,,,First Class,,
548,,,First Class,,
549,,,Second Class,,
550,,,Second Class,,
551,,,Second Class,,
552,,,Second Class,,
553,2018-11-09,2018-12-09,First Class,30 days,30.0
554,,,Standard Class,,
555,,2018-03-07,Second Class,,
556,2015-03-03,2015-07-03,Second Class,122 days,122.0
557,2017-10-06,,Standard Class,,
558,2017-10-06,,Standard Class,,
559,2017-10-06,,Standard Class,,
560,,,Second Class,,
561,,,Second Class,,
562,,,Second Class,,
563,,,Second Class,,
564,2016-07-12,2016-09-12,First Class,62 days,62.0
565,2016-07-12,2016-09-12,First Class,62 days,62.0
566,2018-07-12,2018-10-12,First Class,92 days,92.0
567,2018-01-10,2018-08-10,Standard Class,212 days,212.0
568,2018-01-10,2018-08-10,Standard Class,212 days,212.0
569,2018-01-10,2018-08-10,Standard Class,212 days,212.0
570,2018-01-10,2018-08-10,Standard Class,212 days,212.0
571,,2019-04-01,Standard Class,,
572,,2019-04-01,Standard Class,,
573,,2019-04-01,Standard Class,,
574,,2019-04-01,Standard Class,,
575,2017-03-11,2017-07-11,Standard Class,122 days,122.0
576,,,Second Class,,
577,,,Second Class,,
578,,,Second Class,,
579,,,Standard Class,,
580,,,Standard Class,,
581,2016-10-09,,Standard Class,,
582,2018-01-12,2018-05-12,Standard Class,120 days,120.0
583,2018-01-12,2018-05-12,Standard Class,120 days,120.0
584,2018-01-12,2018-05-12,Standard Class,120 days,120.0
585,2018-01-12,2018-05-12,Standard Class,120 days,120.0
586,2018-01-12,2018-05-12,Standard Class,120 days,120.0
587,2016-03-07,2016-09-07,Standard Class,184 days,184.0
588,2016-03-07,2016-09-07,Standard Class,184 days,184.0
589,,,Standard Class,,
590,,,Standard Class,,
591,,,Standard Class,,
592,,,Standard Class,,
593,2015-09-01,,Standard Class,,
594,2015-09-01,,Standard Class,,
595,2015-08-08,,Standard Class,,
596,2015-08-08,,Standard Class,,
597,2015-08-08,,Standard Class,,
598,2015-08-08,,Standard Class,,
599,,,First Class,,
600,,,Standard Class,,
601,,,Standard Class,,
602,,,Standard Class,,
603,,,Standard Class,,
604,,,Standard Class,,
605,,,Standard Class,,
606,,,Standard Class,,
607,,,Standard Class,,
608,,,Standard Class,,
609,,,Standard Class,,
610,,,Standard Class,,
611,,2017-01-05,First Class,,
612,,2017-01-05,First Class,,
613,2017-11-09,,Second Class,,
614,2017-11-09,,Second Class,,
615,,,Second Class,,
616,,,Second Class,,
617,,,Second Class,,
618,,,Second Class,,
619,,,Second Class,,
620,,,Second Class,,
621,,,Second Class,,
622,,,Standard Class,,
623,,2016-03-12,Standard Class,,
624,,2016-03-12,Standard Class,,
625,,2016-03-12,Standard Class,,
626,,2016-03-12,Standard Class,,
627,,,Standard Class,,
628,,,Standard Class,,
629,,,Standard Class,,
630,,,Standard Class,,
631,2017-11-12,,Second Class,,
632,2017-11-12,,Second Class,,
633,2017-11-12,,Second Class,,
634,,,Second Class,,
635,,,Second Class,,
636,2016-04-10,2016-09-10,Second Class,153 days,153.0
637,,,Standard Class,,
638,,,Standard Class,,
639,,,Standard Class,,
640,,,Standard Class,,
641,,,Standard Class,,
642,,2018-03-08,Second Class,,
643,,2018-03-08,Second Class,,
644,2018-10-06,,Standard Class,,
645,,,Standard Class,,
646,,2019-05-01,Standard Class,,
647,2017-01-04,2017-08-04,Standard Class,212 days,212.0
648,2017-01-04,2017-08-04,Standard Class,212 days,212.0
649,2017-11-12,,Second Class,,
650,2017-11-12,,Second Class,,
651,2017-11-12,,Second Class,,
652,,,Standard Class,,
653,,,Standard Class,,
654,,,Standard Class,,
655,,,Standard Class,,
656,,,Standard Class,,
657,,,Standard Class,,
658,,,Same Day,,
659,,,Same Day,,
660,,,Standard Class,,
661,,,Standard Class,,
662,,,Standard Class,,
663,,,Standard Class,,
664,,,Standard Class,,
665,2017-04-11,2017-04-11,Same Day,0 days,0.0
666,2018-08-06,2018-10-06,Second Class,61 days,61.0
667,2018-08-06,2018-10-06,Second Class,61 days,61.0
668,2018-08-06,2018-10-06,Second Class,61 days,61.0
669,,,First Class,,
670,2018-09-06,,Standard Class,,
671,2018-09-06,,Standard Class,,
672,2018-09-06,,Standard Class,,
673,,,Standard Class,,
674,2018-05-12,2018-08-12,First Class,92 days,92.0
675,2018-05-12,2018-08-12,First Class,92 days,92.0
676,2018-05-12,2018-08-12,First Class,92 days,92.0
677,,,Standard Class,,
678,,,Standard Class,,
679,,,Standard Class,,
680,,,Standard Class,,
681,,,Standard Class,,
682,,,Standard Class,,
683,,,Standard Class,,
684,2018-04-11,2018-04-11,Same Day,0 days,0.0
685,2018-04-11,2018-04-11,Same Day,0 days,0.0
686,2015-05-07,2015-08-07,First Class,92 days,92.0
687,2015-05-07,2015-08-07,First Class,92 days,92.0
688,2015-05-07,2015-08-07,First Class,92 days,92.0
689,,,Standard Class,,
690,,,Second Class,,
691,,,Second Class,,
692,,,Second Class,,
693,,2016-02-04,Standard Class,,
694,,2016-02-04,Standard Class,,
695,,,First Class,,
696,,,First Class,,
697,,,First Class,,
698,,,First Class,,
699,,,First Class,,
700,,,First Class,,
701,,,First Class,,
702,2018-02-09,2018-08-09,Standard Class,181 days,181.0
703,2017-04-11,2017-08-11,Second Class,122 days,122.0
704,2016-09-04,,Standard Class,,
705,2015-12-09,,Standard Class,,
706,2015-12-09,,Standard Class,,
707,2015-12-09,,Standard Class,,
708,2015-02-12,2015-04-12,First Class,59 days,59.0
709,2015-02-12,2015-04-12,First Class,59 days,59.0
710,2015-02-12,2015-04-12,First Class,59 days,59.0
711,2015-05-04,2015-07-04,First Class,61 days,61.0
712,2018-03-09,2018-07-09,Standard Class,122 days,122.0
713,,,Standard Class,,
714,,,Standard Class,,
715,,,Standard Class,,
716,2015-01-07,2015-06-07,Second Class,151 days,151.0
717,2015-11-01,,First Class,,
718,,,Standard Class,,
719,2015-02-06,2015-07-06,Standard Class,150 days,150.0
720,2015-02-06,2015-07-06,Standard Class,150 days,150.0
721,,,Standard Class,,
722,,,Standard Class,,
723,,,Standard Class,,
724,2015-07-10,,Standard Class,,
725,2017-07-07,2017-12-07,Standard Class,153 days,153.0
726,,,Standard Class,,
727,,,Standard Class,,
728,2017-03-12,2017-06-12,First Class,92 days,92.0
729,2017-03-12,2017-06-12,First Class,92 days,92.0
730,2017-03-12,2017-06-12,First Class,92 days,92.0
731,2017-03-12,2017-06-12,First Class,92 days,92.0
732,2017-03-12,2017-06-12,First Class,92 days,92.0
733,,,Standard Class,,
734,,,Standard Class,,
735,,,Standard Class,,
736,,,Standard Class,,
737,,,Standard Class,,
738,,,Standard Class,,
739,2015-08-09,2015-12-09,Standard Class,122 days,122.0
740,2015-04-01,2015-08-01,Standard Class,122 days,122.0
741,2015-04-01,2015-08-01,Standard Class,122 days,122.0
742,2015-04-01,2015-08-01,Standard Class,122 days,122.0
743,,2017-01-09,Standard Class,,
744,,2017-01-09,Standard Class,,
745,,2017-01-09,Standard Class,,
746,,2017-01-09,Standard Class,,
747,,,Same Day,,
748,,,Same Day,,
749,,,Second Class,,
750,2018-02-10,2018-06-10,Standard Class,120 days,120.0
751,2018-02-10,2018-06-10,Standard Class,120 days,120.0
752,2018-02-10,2018-06-10,Standard Class,120 days,120.0
753,2018-02-10,2018-06-10,Standard Class,120 days,120.0
754,2017-07-04,2017-09-04,First Class,62 days,62.0
755,2016-07-12,2016-12-12,Standard Class,153 days,153.0
756,,,Standard Class,,
757,,2016-02-01,Standard Class,,
758,,2016-02-01,Standard Class,,
759,,,Standard Class,,
760,,,Standard Class,,
761,,2016-05-09,Standard Class,,
762,2018-03-11,2018-07-11,Standard Class,122 days,122.0
763,2016-08-02,,Standard Class,,
764,,,Second Class,,
765,,,Second Class,,
766,,,Second Class,,
