Row_ID,Order_Date,Ship_Date,Ship_Mode,Delay_Timing,Delay_Timing_Days
128,2018-05-11,2018-12-11,Standard Class,214 days,214
129,2017-06-11,2017-10-11,Second Class,122 days,122
130,2017-06-11,2017-10-11,Second Class,122 days,122
131,2018-02-02,2018-05-02,First Class,89 days,89
132,2018-02-02,2018-05-02,First Class,89 days,89
133,2018-02-02,2018-05-02,First Class,89 days,89
134,2017-10-13,2017-10-19,Standard Class,6 days,6
135,2017-10-13,2017-10-19,Standard Class,6 days,6
136,2017-10-13,2017-10-19,Standard Class,6 days,6
137,2017-10-13,2017-10-19,Standard Class,6 days,6
138,2017-10-13,2017-10-19,Standard Class,6 days,6
139,2017-10-13,2017-10-19,Standard Class,6 days,6
140,2017-10-13,2017-10-19,Standard Class,6 days,6
141,2017-05-09,2017-07-09,Second Class,61 days,61
142,2018-09-18,2018-09-23,Standard Class,5 days,5
143,2018-09-18,2018-09-23,Standard Class,5 days,5
144,2018-09-18,2018-09-23,Standard Class,5 days,5
145,2018-12-22,2018-12-27,Standard Class,5 days,5
146,2016-07-09,2016-12-09,Standard Class,153 days,153
147,2015-10-22,2015-10-28,Standard Class,6 days,6
148,2017-05-12,2017-09-12,Standard Class,123 days,123
149,2017-05-12,2017-09-12,Standard Class,123 days,123
150,2017-05-12,2017-09-12,Standard Class,123 days,123
151,2017-05-12,2017-09-12,Standard Class,123 days,123
152,2017-03-13,2017-03-16,First Class,3 days,3
153,2017-03-13,2017-03-16,First Class,3 days,3
158,2015-01-03,2015-06-03,Second Class,151 days,151
159,2017-11-20,2017-11-24,Standard Class,4 days,4
160,2017-11-20,2017-11-24,Standard Class,4 days,4
161,2017-11-05,2017-12-05,First Class,30 days,30
162,2016-12-28,2016-12-31,Second Class,3 days,3
163,2017-11-16,2017-11-20,Standard Class,4 days,4
164,2017-07-11,2017-11-11,Standard Class,123 days,123
165,2015-08-09,2015-12-09,Standard Class,122 days,122
166,2015-08-09,2015-12-09,Standard Class,122 days,122
167,2015-08-09,2015-12-09,Standard Class,122 days,122
168,2015-08-09,2015-12-09,Standard Class,122 days,122
169,2015-08-09,2015-12-09,Standard Class,122 days,122
170,2015-08-09,2015-12-09,Standard Class,122 days,122
171,2015-08-09,2015-12-09,Standard Class,122 days,122
172,2015-05-08,2015-09-08,Standard Class,123 days,123
173,2015-05-08,2015-09-08,Standard Class,123 days,123
174,2015-05-08,2015-09-08,Standard Class,123 days,123
175,2015-09-14,2015-09-19,Standard Class,5 days,5
176,2015-09-14,2015-09-19,Standard Class,5 days,5
177,2018-04-21,2018-04-25,Second Class,4 days,4
178,2016-11-21,2016-11-23,Second Class,2 days,2
179,2016-11-21,2016-11-23,Second Class,2 days,2
180,2016-12-15,2016-12-19,Standard Class,4 days,4
181,2015-05-12,2015-09-12,Second Class,123 days,123
182,2015-05-12,2015-09-12,Second Class,123 days,123
183,2015-11-19,2015-11-24,Second Class,5 days,5
184,2015-11-19,2015-11-24,Second Class,5 days,5
185,2015-11-19,2015-11-24,Second Class,5 days,5
187,2015-08-26,2015-08-30,Standard Class,4 days,4
188,2017-07-16,2017-07-22,Standard Class,6 days,6
189,2017-07-16,2017-07-22,Standard Class,6 days,6
196,2015-03-21,2015-03-25,Standard Class,4 days,4
197,2015-03-21,2015-03-25,Standard Class,4 days,4
198,2018-06-11,2018-11-13,Standard Class,155 days,155
199,2018-06-07,2018-07-13,Standard Class,36 days,36
200,2018-06-07,2018-07-13,Standard Class,36 days,36
201,2018-06-24,2018-06-29,Standard Class,5 days,5
202,2015-03-08,2015-05-08,First Class,61 days,61
203,2015-03-08,2015-05-08,First Class,61 days,61
204,2018-12-17,2018-12-21,Second Class,4 days,4
205,2018-03-06,2018-07-06,Standard Class,122 days,122
206,2018-09-12,2018-12-14,Standard Class,93 days,93
207,2018-01-12,2018-07-12,Standard Class,181 days,181
208,2018-01-12,2018-07-12,Standard Class,181 days,181
209,2018-01-12,2018-07-12,Standard Class,181 days,181
210,2018-01-12,2018-07-12,Standard Class,181 days,181
211,2018-01-12,2018-07-12,Standard Class,181 days,181
213,2016-02-01,2016-09-01,Standard Class,213 days,213
214,2016-02-01,2016-09-01,Standard Class,213 days,213
215,2016-02-01,2016-09-01,Standard Class,213 days,213
216,2016-02-01,2016-09-01,Standard Class,213 days,213
217,2016-02-01,2016-09-01,Standard Class,213 days,213
220,2016-12-24,2016-12-27,First Class,3 days,3
221,2016-12-24,2016-12-27,First Class,3 days,3
222,2016-12-24,2016-12-27,First Class,3 days,3
223,2016-12-24,2016-12-27,First Class,3 days,3
224,2016-12-24,2016-12-27,First Class,3 days,3
225,2016-12-24,2016-12-27,First Class,3 days,3
229,2016-02-28,2016-04-03,Standard Class,35 days,35
230,2016-02-28,2016-04-03,Standard Class,35 days,35
231,2015-09-13,2015-09-17,Standard Class,4 days,4
232,2018-07-04,2018-12-04,Standard Class,153 days,153
233,2018-07-04,2018-12-04,Standard Class,153 days,153
234,2018-07-04,2018-12-04,Standard Class,153 days,153
235,2018-07-04,2018-12-04,Standard Class,153 days,153
236,2018-07-04,2018-12-04,Standard Class,153 days,153
238,2017-04-06,2017-09-06,Second Class,153 days,153
239,2017-04-06,2017-09-06,Second Class,153 days,153
240,2017-04-06,2017-09-06,Second Class,153 days,153
241,2017-04-06,2017-09-06,Second Class,153 days,153
242,2017-04-06,2017-09-06,Second Class,153 days,153
243,2017-04-06,2017-09-06,Second Class,153 days,153
244,2017-04-06,2017-09-06,Second Class,153 days,153
245,2015-01-06,2015-06-06,Second Class,151 days,151
246,2015-01-06,2015-06-06,Second Class,151 days,151
247,2015-01-06,2015-06-06,Second Class,151 days,151
248,2015-01-06,2015-06-06,Second Class,151 days,151
249,2015-01-06,2015-06-06,Second Class,151 days,151
250,2017-10-12,2017-12-15,Second Class,64 days,64
253,2017-10-12,2017-12-13,First Class,62 days,62
254,2017-10-12,2017-12-13,First Class,62 days,62
259,2018-01-12,2018-03-12,Second Class,59 days,59
260,2018-01-12,2018-03-12,Second Class,59 days,59
261,2018-01-12,2018-03-12,Second Class,59 days,59
262,2018-08-06,2018-12-06,Standard Class,122 days,122
263,2015-09-19,2015-09-21,Second Class,2 days,2
264,2015-09-19,2015-09-21,Second Class,2 days,2
265,2017-06-06,2017-06-13,Standard Class,7 days,7
266,2016-10-11,2016-11-15,Standard Class,35 days,35
267,2018-06-16,2018-06-20,Standard Class,4 days,4
268,2017-01-22,2017-01-28,Standard Class,6 days,6
269,2018-09-12,2018-12-13,Standard Class,92 days,92
270,2018-09-12,2018-12-13,Standard Class,92 days,92
271,2018-12-28,2019-02-01,Second Class,35 days,35
277,2018-10-13,2018-10-17,Standard Class,4 days,4
278,2018-10-13,2018-10-17,Standard Class,4 days,4
279,2018-10-13,2018-10-17,Standard Class,4 days,4
280,2018-10-13,2018-10-17,Standard Class,4 days,4
281,2016-09-26,2016-09-28,Second Class,2 days,2
282,2016-09-26,2016-09-28,Second Class,2 days,2
283,2016-02-11,2016-06-11,Standard Class,121 days,121
287,2017-12-18,2017-12-20,Second Class,2 days,2
288,2017-12-18,2017-12-20,Second Class,2 days,2
289,2017-12-18,2017-12-20,Second Class,2 days,2
290,2017-11-20,2017-11-24,Second Class,4 days,4
291,2017-11-20,2017-11-24,Second Class,4 days,4
292,2017-11-20,2017-11-24,Second Class,4 days,4
293,2017-11-20,2017-11-24,Second Class,4 days,4
294,2015-12-26,2015-12-28,First Class,2 days,2
295,2015-12-26,2015-12-28,First Class,2 days,2
296,2015-12-26,2015-12-28,First Class,2 days,2
297,2015-12-26,2015-12-28,First Class,2 days,2
298,2015-12-26,2015-12-28,First Class,2 days,2
304,2018-11-19,2018-11-23,Standard Class,4 days,4
305,2016-04-05,2016-09-05,Second Class,153 days,153
306,2015-12-30,2016-04-01,Standard Class,93 days,93
307,2015-01-06,2015-06-06,Standard Class,151 days,151
308,2015-01-06,2015-06-06,Standard Class,151 days,151
309,2018-04-15,2018-04-17,First Class,2 days,2
317,2015-12-28,2015-12-30,First Class,2 days,2
318,2015-04-11,2015-09-11,Standard Class,153 days,153
319,2015-04-11,2015-09-11,Standard Class,153 days,153
320,2015-04-11,2015-09-11,Standard Class,153 days,153
321,2015-04-11,2015-09-11,Standard Class,153 days,153
322,2015-04-11,2015-09-11,Standard Class,153 days,153
323,2015-09-19,2015-09-24,Standard Class,5 days,5
324,2017-04-23,2017-04-27,Standard Class,4 days,4
325,2017-04-23,2017-04-27,Standard Class,4 days,4
326,2018-03-11,2018-05-11,Second Class,61 days,61
332,2017-04-25,2017-04-29,Second Class,4 days,4
333,2017-04-25,2017-04-29,Second Class,4 days,4
334,2017-04-25,2017-04-29,Second Class,4 days,4
335,2016-01-09,2016-04-09,Second Class,91 days,91
336,2016-01-09,2016-04-09,Second Class,91 days,91
337,2016-01-09,2016-04-09,Second Class,91 days,91
340,2016-06-22,2016-06-26,Second Class,4 days,4
341,2015-04-13,2015-04-17,Second Class,4 days,4
342,2015-04-13,2015-04-17,Second Class,4 days,4
343,2015-04-13,2015-04-17,Second Class,4 days,4
344,2015-04-13,2015-04-17,Second Class,4 days,4
345,2016-12-20,2016-12-24,Standard Class,4 days,4
346,2018-06-15,2018-06-19,Standard Class,4 days,4
347,2018-08-07,2018-12-07,Standard Class,122 days,122
348,2018-08-07,2018-12-07,Standard Class,122 days,122
349,2018-08-07,2018-12-07,Standard Class,122 days,122
350,2017-01-09,2017-03-09,First Class,59 days,59
351,2017-01-09,2017-03-09,First Class,59 days,59
352,2017-01-09,2017-03-09,First Class,59 days,59
353,2017-01-09,2017-03-09,First Class,59 days,59
354,2017-01-09,2017-03-09,First Class,59 days,59
359,2017-04-23,2017-04-28,Standard Class,5 days,5
360,2018-08-03,2018-11-03,First Class,92 days,92
361,2018-08-03,2018-11-03,First Class,92 days,92
366,2015-09-24,2015-09-29,Standard Class,5 days,5
373,2015-07-23,2015-07-27,Standard Class,4 days,4
374,2015-07-23,2015-07-27,Standard Class,4 days,4
375,2015-07-23,2015-07-27,Standard Class,4 days,4
376,2015-07-23,2015-07-27,Standard Class,4 days,4
379,2016-04-28,2016-05-05,Standard Class,7 days,7
380,2016-04-28,2016-05-05,Standard Class,7 days,7
381,2016-04-28,2016-05-05,Standard Class,7 days,7
384,2016-06-26,2016-06-29,Second Class,3 days,3
387,2016-03-12,2016-07-12,Standard Class,122 days,122
388,2016-03-12,2016-07-12,Standard Class,122 days,122
389,2015-11-24,2015-11-26,First Class,2 days,2
390,2018-11-12,2018-12-15,Standard Class,33 days,33
391,2018-11-12,2018-12-15,Standard Class,33 days,33
392,2015-09-21,2015-09-23,Second Class,2 days,2
393,2015-09-21,2015-09-23,Second Class,2 days,2
394,2015-07-06,2015-10-06,Second Class,92 days,92
396,2018-10-17,2018-10-19,Second Class,2 days,2
397,2018-10-17,2018-10-19,Second Class,2 days,2
399,2017-08-09,2017-10-09,Second Class,61 days,61
400,2017-08-09,2017-10-09,Second Class,61 days,61
401,2017-08-09,2017-10-09,Second Class,61 days,61
402,2017-08-09,2017-10-09,Second Class,61 days,61
403,2015-12-24,2015-12-26,First Class,2 days,2
404,2015-04-16,2015-04-20,Standard Class,4 days,4
405,2018-12-24,2018-12-29,Standard Class,5 days,5
406,2018-08-12,2018-12-12,Standard Class,122 days,122
407,2018-08-12,2018-12-12,Standard Class,122 days,122
408,2018-08-12,2018-12-12,Standard Class,122 days,122
409,2018-08-12,2018-12-12,Standard Class,122 days,122
410,2018-08-12,2018-12-12,Standard Class,122 days,122
411,2018-08-12,2018-12-12,Standard Class,122 days,122
412,2018-08-12,2018-12-12,Standard Class,122 days,122
413,2018-08-12,2018-12-12,Standard Class,122 days,122
414,2018-08-12,2018-12-12,Standard Class,122 days,122
415,2018-03-11,2018-07-11,Standard Class,122 days,122
416,2018-03-11,2018-07-11,Standard Class,122 days,122
417,2018-06-24,2018-06-28,Standard Class,4 days,4
418,2017-04-14,2017-04-18,Standard Class,4 days,4
419,2018-06-11,2018-10-11,Standard Class,122 days,122
420,2018-04-03,2018-09-03,Standard Class,153 days,153
421,2018-04-03,2018-09-03,Standard Class,153 days,153
422,2015-06-22,2015-06-25,First Class,3 days,3
423,2018-10-19,2018-10-23,Standard Class,4 days,4
424,2018-10-19,2018-10-23,Standard Class,4 days,4
425,2018-08-21,2018-08-23,Second Class,2 days,2
426,2018-11-23,2018-11-26,Second Class,3 days,3
427,2018-11-23,2018-11-26,Second Class,3 days,3
429,2018-01-10,2018-08-10,Standard Class,212 days,212
430,2017-04-15,2017-04-21,Standard Class,6 days,6
431,2017-04-15,2017-04-21,Standard Class,6 days,6
432,2017-04-15,2017-04-21,Standard Class,6 days,6
433,2017-04-15,2017-04-21,Standard Class,6 days,6
434,2017-06-06,2017-07-06,First Class,30 days,30
435,2015-12-19,2015-12-25,Standard Class,6 days,6
436,2015-12-19,2015-12-25,Standard Class,6 days,6
439,2018-09-15,2018-09-19,Standard Class,4 days,4
440,2018-01-20,2018-01-23,Second Class,3 days,3
441,2017-05-09,2017-07-09,Second Class,61 days,61
442,2017-05-09,2017-07-09,Second Class,61 days,61
443,2017-05-09,2017-07-09,Second Class,61 days,61
444,2017-05-09,2017-07-09,Second Class,61 days,61
445,2017-05-09,2017-07-09,Second Class,61 days,61
446,2017-05-09,2017-07-09,Second Class,61 days,61
447,2018-03-20,2018-03-25,Second Class,5 days,5
448,2017-01-04,2017-03-04,Second Class,59 days,59
449,2017-01-04,2017-03-04,Second Class,59 days,59
450,2017-01-04,2017-03-04,Second Class,59 days,59
451,2017-01-04,2017-03-04,Second Class,59 days,59
452,2017-01-04,2017-03-04,Second Class,59 days,59
453,2017-01-04,2017-03-04,Second Class,59 days,59
454,2018-10-20,2018-10-24,Standard Class,4 days,4
455,2018-10-20,2018-10-24,Standard Class,4 days,4
456,2017-12-13,2017-12-17,Standard Class,4 days,4
460,2016-12-15,2016-12-22,Standard Class,7 days,7
461,2016-12-15,2016-12-22,Standard Class,7 days,7
462,2016-12-15,2016-12-22,Standard Class,7 days,7
463,2017-04-22,2017-04-29,Standard Class,7 days,7
464,2017-04-22,2017-04-29,Standard Class,7 days,7
465,2017-04-22,2017-04-29,Standard Class,7 days,7
466,2017-04-22,2017-04-29,Standard Class,7 days,7
467,2017-04-22,2017-04-29,Standard Class,7 days,7
468,2016-01-17,2016-01-24,Standard Class,7 days,7
469,2018-03-31,2018-04-04,Standard Class,4 days,4
470,2017-12-16,2017-12-20,Second Class,4 days,4
471,2016-12-20,2016-12-24,Standard Class,4 days,4
472,2015-09-11,2015-11-11,Second Class,61 days,61
473,2015-09-11,2015-11-11,Second Class,61 days,61
474,2015-09-11,2015-11-11,Second Class,61 days,61
475,2015-09-11,2015-11-11,Second Class,61 days,61
476,2015-09-11,2015-11-11,Second Class,61 days,61
477,2015-09-11,2015-11-11,Second Class,61 days,61
482,2015-06-10,2015-10-10,Standard Class,122 days,122
483,2015-07-22,2015-07-27,Standard Class,5 days,5
484,2015-07-22,2015-07-27,Standard Class,5 days,5
488,2015-10-29,2015-10-31,First Class,2 days,2
492,2015-09-14,2015-09-19,Standard Class,5 days,5
493,2015-09-14,2015-09-19,Standard Class,5 days,5
495,2017-03-18,2017-03-21,Second Class,3 days,3
496,2016-12-27,2016-12-31,Standard Class,4 days,4
497,2017-07-25,2017-07-31,Standard Class,6 days,6
498,2017-07-25,2017-07-31,Standard Class,6 days,6
499,2017-07-25,2017-07-31,Standard Class,6 days,6
500,2017-07-25,2017-07-31,Standard Class,6 days,6
507,2016-03-16,2016-03-22,Standard Class,6 days,6
508,2016-03-16,2016-03-22,Standard Class,6 days,6
509,2016-03-16,2016-03-22,Standard Class,6 days,6
510,2016-03-16,2016-03-22,Standard Class,6 days,6
513,2017-10-20,2017-10-23,First Class,3 days,3
514,2018-12-21,2018-12-25,Standard Class,4 days,4
515,2018-12-21,2018-12-25,Standard Class,4 days,4
516,2018-01-22,2018-01-27,Standard Class,5 days,5
517,2018-01-22,2018-01-27,Standard Class,5 days,5
518,2018-01-22,2018-01-27,Standard Class,5 days,5
519,2018-01-22,2018-01-27,Standard Class,5 days,5
520,2016-03-22,2016-03-26,Standard Class,4 days,4
521,2016-03-22,2016-03-26,Standard Class,4 days,4
522,2016-03-22,2016-03-26,Standard Class,4 days,4
523,2018-01-23,2018-01-25,First Class,2 days,2
524,2017-05-21,2017-05-23,First Class,2 days,2
525,2017-05-21,2017-05-23,First Class,2 days,2
526,2016-12-26,2017-02-01,Standard Class,37 days,37
527,2018-10-21,2018-10-26,Standard Class,5 days,5
528,2018-10-21,2018-10-26,Standard Class,5 days,5
529,2016-03-09,2016-07-09,Standard Class,122 days,122
530,2016-03-09,2016-07-09,Standard Class,122 days,122
531,2016-03-09,2016-07-09,Standard Class,122 days,122
532,2016-07-11,2016-09-11,Second Class,62 days,62
533,2018-07-09,2018-11-09,Standard Class,123 days,123
537,2018-03-09,2018-08-09,Second Class,153 days,153
538,2016-03-12,2016-08-12,Standard Class,153 days,153
539,2016-07-12,2016-11-12,Standard Class,123 days,123
540,2016-07-12,2016-11-12,Standard Class,123 days,123
541,2015-01-02,2015-03-02,First Class,59 days,59
542,2017-07-14,2017-07-17,First Class,3 days,3
543,2016-12-18,2016-12-23,Standard Class,5 days,5
547,2018-11-19,2018-11-22,First Class,3 days,3
548,2018-11-19,2018-11-22,First Class,3 days,3
549,2016-11-15,2016-11-17,Second Class,2 days,2
550,2016-11-15,2016-11-17,Second Class,2 days,2
551,2016-11-15,2016-11-17,Second Class,2 days,2
552,2017-04-15,2017-04-17,Second Class,2 days,2
553,2018-11-09,2018-12-09,First Class,30 days,30
554,2018-11-24,2018-11-28,Standard Class,4 days,4
556,2015-03-03,2015-07-03,Second Class,122 days,122
560,2018-11-20,2018-11-22,Second Class,2 days,2
561,2018-11-20,2018-11-22,Second Class,2 days,2
562,2015-09-14,2015-09-18,Second Class,4 days,4
563,2015-09-14,2015-09-18,Second Class,4 days,4
564,2016-07-12,2016-09-12,First Class,62 days,62
565,2016-07-12,2016-09-12,First Class,62 days,62
566,2018-07-12,2018-10-12,First Class,92 days,92
567,2018-01-10,2018-08-10,Standard Class,212 days,212
568,2018-01-10,2018-08-10,Standard Class,212 days,212
569,2018-01-10,2018-08-10,Standard Class,212 days,212
570,2018-01-10,2018-08-10,Standard Class,212 days,212
571,2018-12-28,2019-04-01,Standard Class,94 days,94
572,2018-12-28,2019-04-01,Standard Class,94 days,94
573,2018-12-28,2019-04-01,Standard Class,94 days,94
574,2018-12-28,2019-04-01,Standard Class,94 days,94
575,2017-03-11,2017-07-11,Standard Class,122 days,122
576,2016-09-18,2016-09-22,Second Class,4 days,4
577,2016-09-18,2016-09-22,Second Class,4 days,4
578,2016-09-18,2016-09-22,Second Class,4 days,4
579,2018-07-20,2018-07-26,Standard Class,6 days,6
580,2018-07-20,2018-07-26,Standard Class,6 days,6
582,2018-01-12,2018-05-12,Standard Class,120 days,120
583,2018-01-12,2018-05-12,Standard Class,120 days,120
584,2018-01-12,2018-05-12,Standard Class,120 days,120
585,2018-01-12,2018-05-12,Standard Class,120 days,120
586,2018-01-12,2018-05-12,Standard Class,120 days,120
587,2016-03-07,2016-09-07,Standard Class,184 days,184
588,2016-03-07,2016-09-07,Standard Class,184 days,184
589,2017-03-20,2017-03-24,Standard Class,4 days,4
590,2017-03-20,2017-03-24,Standard Class,4 days,4
591,2017-03-20,2017-03-24,Standard Class,4 days,4
592,2017-03-20,2017-03-24,Standard Class,4 days,4
595,2015-08-08,2015-08-15,Standard Class,7 days,7
596,2015-08-08,2015-08-15,Standard Class,7 days,7
597,2015-08-08,2015-08-15,Standard Class,7 days,7
598,2015-08-08,2015-08-15,Standard Class,7 days,7
599,2017-07-14,2017-07-16,First Class,2 days,2
600,2017-07-16,2017-07-21,Standard Class,5 days,5
601,2017-07-16,2017-07-21,Standard Class,5 days,5
602,2017-07-16,2017-07-21,Standard Class,5 days,5
603,2015-03-15,2015-03-19,Standard Class,4 days,4
604,2015-03-15,2015-03-19,Standard Class,4 days,4
605,2015-03-15,2015-03-19,Standard Class,4 days,4
606,2015-03-15,2015-03-19,Standard Class,4 days,4
607,2015-03-15,2015-03-19,Standard Class,4 days,4
608,2015-05-23,2015-05-27,Standard Class,4 days,4
609,2015-05-23,2015-05-27,Standard Class,4 days,4
610,2015-05-23,2015-05-27,Standard Class,4 days,4
615,2018-11-14,2018-11-17,Second Class,3 days,3
616,2018-11-14,2018-11-17,Second Class,3 days,3
617,2018-08-18,2018-08-23,Second Class,5 days,5
618,2018-08-18,2018-08-23,Second Class,5 days,5
619,2018-08-18,2018-08-23,Second Class,5 days,5
620,2018-08-18,2018-08-23,Second Class,5 days,5
621,2018-08-18,2018-08-23,Second Class,5 days,5
622,2015-12-26,2015-12-31,Standard Class,5 days,5
627,2018-09-15,2018-09-19,Standard Class,4 days,4
628,2018-05-19,2018-05-23,Standard Class,4 days,4
629,2018-12-17,2018-12-21,Standard Class,4 days,4
630,2018-12-17,2018-12-21,Standard Class,4 days,4
631,2017-11-12,2017-12-13,Second Class,31 days,31
632,2017-11-12,2017-12-13,Second Class,31 days,31
633,2017-11-12,2017-12-13,Second Class,31 days,31
634,2018-09-24,2018-09-26,Second Class,2 days,2
635,2018-09-24,2018-09-26,Second Class,2 days,2
636,2016-04-10,2016-09-10,Second Class,153 days,153
637,2017-08-15,2017-08-21,Standard Class,6 days,6
638,2017-08-15,2017-08-21,Standard Class,6 days,6
639,2017-05-20,2017-05-25,Standard Class,5 days,5
640,2017-05-20,2017-05-25,Standard Class,5 days,5
641,2017-12-18,2017-12-22,Standard Class,4 days,4
645,2018-07-21,2018-07-25,Standard Class,4 days,4
646,2018-12-30,2019-05-01,Standard Class,122 days,122
647,2017-01-04,2017-08-04,Standard Class,212 days,212
648,2017-01-04,2017-08-04,Standard Class,212 days,212
649,2017-11-12,2017-12-16,Second Class,34 days,34
650,2017-11-12,2017-12-16,Second Class,34 days,34
651,2017-11-12,2017-12-16,Second Class,34 days,34
652,2017-10-23,2017-10-29,Standard Class,6 days,6
653,2018-06-19,2018-06-23,Standard Class,4 days,4
654,2018-06-19,2018-06-23,Standard Class,4 days,4
655,2017-08-22,2017-08-28,Standard Class,6 days,6
656,2017-08-22,2017-08-28,Standard Class,6 days,6
657,2017-08-22,2017-08-28,Standard Class,6 days,6
660,2016-08-24,2016-08-28,Standard Class,4 days,4
661,2016-08-24,2016-08-28,Standard Class,4 days,4
662,2016-08-24,2016-08-28,Standard Class,4 days,4
663,2016-08-24,2016-08-28,Standard Class,4 days,4
664,2017-03-26,2017-03-30,Standard Class,4 days,4
666,2018-08-06,2018-10-06,Second Class,61 days,61
667,2018-08-06,2018-10-06,Second Class,61 days,61
668,2018-08-06,2018-10-06,Second Class,61 days,61
669,2015-12-24,2015-12-26,First Class,2 days,2
673,2018-06-15,2018-06-22,Standard Class,7 days,7
674,2018-05-12,2018-08-12,First Class,92 days,92
675,2018-05-12,2018-08-12,First Class,92 days,92
